station,entries,exits
Aberdeen,Less than 50,Less than 50
Adamstown,2124,2095
Albion Park,5539,4999
Allawah,58857,52854
Arncliffe,57543,52366
Artarmon,93699,90055
Ashfield,247935,245513
Asquith,28264,25825
Auburn,350829,333775
Austinmer,1443,1297
Awaba,489,383
Banksia,33016,30297
Bankstown,90349,93755
Barangaroo,203408,220818
Bardwell Park,21768,19780
Bargo,1034,1018
Bathurst,2484,1697
Beecroft,27920,27276
Bell,72,77
Bella Vista,83803,81389
Bellambi,1885,1786
Belmore,Less than 50,Less than 50
Berala,46645,43564
Beresfield,3313,3018
Berowra,25704,24043
Berry,1519,1379
Beverly Hills,43866,39507
Bexley North,28582,26081
Birrong,8970,9239
Blackheath,4806,4568
Blacktown,337809,350787
Blaxland,9611,8492
Bomaderry,6095,4988
Bombo,860,740
Bondi Junction,510143,507044
Booragul,686,639
Bowral,4583,4439
Branxton,204,164
Broadmeadow,20328,19173
Bullaburra,1048,1021
Bulli,2634,2235
Bundanoon,275,158
Burradoo,178,215
Burwood,484644,496680
Cabramatta,181301,178412
Campbelltown,129735,129195
Campsie,Less than 50,Less than 50
Canley Vale,55022,50321
Canterbury,Less than 50,Less than 50
Cardiff,19665,17905
Caringbah,55100,52435
Carlton,62862,58019
Carramar,13828,11868
Castle Hill,187512,196922
Casula,8780,7725
Central,1990723,2070843
Chatswood,811899,838755
Cheltenham,18072,15851
Cherrybrook,116678,111687
Chester Hill,25471,24008
Circular Quay,478691,479504
Clarendon,4052,4072
Clyde,22575,21311
Coalcliff,202,280
Cockle Creek,944,1004
Coledale,471,407
Como,14055,12094
Concord West,41950,40543
Coniston,4314,4210
Corrimal,2633,2223
Cowan,1167,1464
Cringila,327,291
Cronulla,58266,56541
Crows Nest,280230,285124
Croydon,48230,43742
Dapto,9773,8749
Denistone,11584,10498
Domestic,198729,173196
Doonside,61689,55877
Dora Creek,799,788
Douglas Park,479,457
Dulwich Hill,Less than 50,Less than 50
Dungog,425,353
East Hills,17870,16239
East Maitland,639,505
East Richmond,4140,5000
Eastwood,164350,166651
Edgecliff,173349,168260
Edmondson Park,93899,89860
Emu Plains,23638,22217
Engadine,25485,24444
Epping,357934,349483
Erskineville,52120,47534
Exeter,115,Less than 50
Fairfield,127875,123678
Fairy Meadow,2203,1967
Fassifern,9315,9004
Faulconbridge,1567,1480
Flemington,123839,116528
Gadigal,515712,526824
Gerringong,1208,1090
Glenbrook,8455,7834
