station,entries,exits
Aberdeen,Less than 50,Less than 50
Adamstown,2321,2295
Albion Park,6060,5491
Allawah,57472,51977
Arncliffe,53428,48139
Artarmon,99139,95523
Ashfield,261120,257832
Asquith,30941,27453
Auburn,351935,335188
Austinmer,2013,1684
Awaba,546,476
Banksia,31908,28766
Bankstown,3601,3843
Barangaroo,246600,248056
Bardwell Park,23328,20789
Bargo,936,965
Bathurst,2269,1713
Beecroft,30584,29311
Bell,55,53
Bella Vista,86444,84809
Bellambi,1976,1934
Berala,35755,30749
Beresfield,3222,2863
Berowra,25886,23847
Berry,1471,1422
Beverly Hills,47328,43084
Bexley North,30453,28235
Birrong,330,339
Blackheath,4705,4441
Blacktown,334658,348131
Blaxland,9311,8329
Bomaderry,6069,5280
Bombo,844,802
Bondi Junction,497979,494244
Booragul,756,772
Bowral,4636,4242
Branxton,197,153
Broadmeadow,21128,19793
Bullaburra,1051,923
Bulli,3116,2833
Bundanoon,310,221
Burradoo,167,213
Burwood,496012,510610
Cabramatta,178557,175936
Campbelltown,130585,130183
Campsie,Less than 50,Less than 50
Canley Vale,54245,49926
Canterbury,Less than 50,Less than 50
Cardiff,20815,19295
Caringbah,53942,50313
Carlton,61122,55472
Carramar,13747,11684
Castle Hill,191320,201110
Casula,8877,7690
Central,1978521,2064620
Chatswood,829419,859333
Cheltenham,22912,18806
Cherrybrook,125069,119785
Chester Hill,25014,23392
Circular Quay,685061,591133
Clarendon,1349,1338
Clyde,21928,20409
Coalcliff,335,311
Cockle Creek,1069,1113
Coledale,715,599
Como,13731,11685
Concord West,45134,42804
Coniston,4853,4558
Corrimal,2881,2550
Cowan,1123,1489
Cringila,376,316
Cronulla,49004,48300
Crows Nest,285017,288922
Croydon,52071,46617
Dapto,10948,9898
Denistone,12320,10861
Domestic,209128,185755
Doonside,61423,54741
Dora Creek,879,848
Douglas Park,420,384
Dungog,446,339
East Hills,18541,17449
East Maitland,802,621
East Richmond,4459,5053
Eastwood,167828,170787
Edgecliff,177947,170160
Edmondson Park,96426,92535
Emu Plains,23129,21737
Engadine,24783,23207
Epping,372437,366919
Erskineville,48340,42986
Exeter,94,65
Fairfield,126762,122394
Fairy Meadow,2638,2329
Fassifern,9623,8812
Faulconbridge,1700,1659
Flemington,124792,118720
Gadigal,505190,523256
Gerringong,1025,1113
Glenbrook,8384,7524
Glenfield,126820,119491
Gordon,149986,147308
Gosford,98777,97198
Goulburn,907,734
Granville,200015,190244
Green Square,218261,212330
Greta,55,Less than 50
Guildford,62199,56759
Gymea,38584,35963
Hamilton,14946,15289
Harris Park,59715,60473
Hawkesbury River,6052,5686
Hazelbrook,5525,5186
Heathcote,10692,10516
Helensburgh,9253,8373
Hexham,148,172
High Street,269,383
Hilldale,Less than 50,Less than 50
Hills Showground,108636,104976
Holsworthy,64421,61756
Homebush,91261,85039
Hornsby,280737,286078
Hurstville,441419,446653
