MonthYear,Station,Station_Type ,Entry_Exit,Trip
Aug-24,Aberdeen  Station,Train,Exit,Less than 50
Aug-24,Aberdeen  Station,Train,Entry,Less than 50
Aug-24,Adamstown  Station,Train,Exit,2389
Aug-24,Adamstown  Station,Train,Entry,2586
Aug-24,Albion Park  Station,Train,Exit,6183
Aug-24,Albion Park  Station,Train,Entry,6926
Aug-24,Allawah  Station,Train,Exit,59774
Aug-24,Allawah  Station,Train,Entry,67210
Aug-24,Arncliffe  Station,Train,Exit,55136
Aug-24,Arncliffe  Station,Train,Entry,60590
Aug-24,Artarmon  Station,Train,Exit,106021
Aug-24,Artarmon  Station,Train,Entry,111691
Aug-24,Ashfield  Station,Train,Exit,261613
Aug-24,Ashfield  Station,Train,Entry,265409
Aug-24,Asquith  Station,Train,Exit,27436
Aug-24,Asquith  Station,Train,Entry,32171
Aug-24,Auburn  Station,Train,Exit,403927
Aug-24,Auburn  Station,Train,Entry,423578
Aug-24,Austinmer  Station,Train,Exit,2115
Aug-24,Austinmer  Station,Train,Entry,2474
Aug-24,Awaba  Station,Train,Exit,378
Aug-24,Awaba  Station,Train,Entry,432
Aug-24,Banksia  Station,Train,Exit,33406
Aug-24,Banksia  Station,Train,Entry,36649
Aug-24,Bankstown  Station,Train,Exit,232450
Aug-24,Bankstown  Station,Train,Entry,228595
Aug-24,Barangaroo  Station,Metro,Exit,141659
Aug-24,Barangaroo  Station,Metro,Entry,121548
Aug-24,Bardwell Park  Station,Train,Exit,24072
Aug-24,Bardwell Park  Station,Train,Entry,26318
Aug-24,Bargo  Station,Train,Exit,1163
Aug-24,Bargo  Station,Train,Entry,1259
Aug-24,Bathurst  Station,Train,Exit,1773
Aug-24,Bathurst  Station,Train,Entry,2555
Aug-24,Beecroft  Station,Train,Exit,33020
Aug-24,Beecroft  Station,Train,Entry,34254
Aug-24,Bell  Station,Train,Exit,82
Aug-24,Bell  Station,Train,Entry,76
Aug-24,Bella Vista  Station,Metro,Exit,72627
Aug-24,Bella Vista  Station,Metro,Entry,74908
Aug-24,Bellambi  Station,Train,Exit,2296
Aug-24,Bellambi  Station,Train,Entry,2716
Aug-24,Belmore  Station,Train,Exit,50316
Aug-24,Belmore  Station,Train,Entry,55937
Aug-24,Berala  Station,Train,Exit,44502
Aug-24,Berala  Station,Train,Entry,45421
Aug-24,Beresfield  Station,Train,Exit,3368
Aug-24,Beresfield  Station,Train,Entry,3847
Aug-24,Berowra  Station,Train,Exit,24936
Aug-24,Berowra  Station,Train,Entry,27138
Aug-24,Berry  Station,Train,Exit,1728
Aug-24,Berry  Station,Train,Entry,1774
Aug-24,Beverly Hills  Station,Train,Exit,41055
Aug-24,Beverly Hills  Station,Train,Entry,45894
Aug-24,Bexley North  Station,Train,Exit,28371
Aug-24,Bexley North  Station,Train,Entry,31050
Aug-24,Birrong  Station,Train,Exit,21634
Aug-24,Birrong  Station,Train,Entry,22734
Aug-24,Blackheath  Station,Train,Exit,4837
Aug-24,Blackheath  Station,Train,Entry,5057
Aug-24,Blacktown  Station,Train,Exit,421661
Aug-24,Blacktown  Station,Train,Entry,410967
Aug-24,Blaxland  Station,Train,Exit,9932
Aug-24,Blaxland  Station,Train,Entry,10731
Aug-24,Bomaderry  Station,Train,Exit,6147
Aug-24,Bomaderry  Station,Train,Entry,7345
